entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,best_ticker,best_score,score_delta
2026-03-03,2026-03-04,COP,119.1637,114.7659,-3.691,REGIME_EXIT,CASH,0.0,0.0
2026-04-13,2026-04-17,CRWV,104.225,120.385,15.505,SWITCH,ON,0.9812,0.3563
2026-04-17,2026-04-23,ON,80.34,92.81,15.522,SWITCH,MSTR,0.8937,0.1108
2026-04-23,2026-04-28,MSTR,175.88,163.87,-6.829,SWITCH,NVDA,0.828,0.4373
2026-04-28,2026-05-01,NVDA,209.2461,201.0457,-3.919,SWITCH,GOOGL,0.9881,0.74
2026-05-01,2026-05-06,GOOGL,381.4022,394.0147,3.307,SWITCH,SWKS,0.9127,0.2054
2026-05-06,2026-05-11,SWKS,67.4539,66.1353,-1.955,SWITCH,MNST,0.9657,0.3201
2026-05-11,2026-05-14,MNST,85.01,85.75,0.87,SWITCH,F,0.9735,0.3806
2026-05-14,2026-05-19,F,13.6027,12.7519,-6.255,SWITCH,DXCM,0.9177,0.5828
2026-05-19,2026-05-26,DXCM,65.28,72.02,10.325,SWITCH,HPQ,0.9746,0.3982
2026-05-26,2026-06-04,HPQ,24.8969,25.4205,2.103,SWITCH,MDT,0.8689,0.6004
2026-06-04,2026-06-09,MDT,79.2846,80.0379,0.95,SWITCH,KLAC,0.8477,0.2859
2026-06-09,2026-06-17,KLAC,216.755,244.6735,12.88,SWITCH,MRNA,0.9349,0.6849
2026-06-17,2026-06-24,MRNA,56.21,61.17,8.824,SWITCH,JNJ,0.8011,0.1441
2026-06-24,2026-06-29,JNJ,239.89,253.19,5.544,REGIME_EXIT,CASH,0.0,0.0
2026-07-07,2026-07-14,ANET,169.1,183.9,8.752,SWITCH,WBD,0.8101,0.4718
2026-07-14,2026-07-17,WBD,27.1,27.31,0.775,SWITCH,ABT,0.9258,0.3784
2026-07-17,2026-07-23,ABT,101.0,101.23,0.228,SWITCH,EQT,0.9519,0.3295
2026-07-23,2026-07-24,EQT,54.2199,53.4822,-1.361,REGIME_EXIT,CASH,0.0,0.0
2026-08-04,2026-08-07,DXCM,87.14,82.49,-5.336,SWITCH,ZTS,0.8921,0.269
2026-08-07,2026-08-10,ZTS,77.92,72.4,-7.084,STOP_LOSS,,0.0,0.0
2026-08-11,2026-08-14,APA,40.49,40.5,0.025,SWITCH,HPQ,0.8755,0.4002
